example_id                                      | status  | run_time        |
----------------------------------------------- | ------- | --------------- |
./spec/turn/entities/song_spec.rb[1:1]          | pending | 0.00004 seconds |
./spec/turn/entities/song_spec.rb[1:2]          | passed  | 0.00236 seconds |
./spec/web/controllers/songs/index_spec.rb[1:1] | passed  | 0.01377 seconds |
./spec/web/controllers/songs/index_spec.rb[1:2] | passed  | 0.01499 seconds |
./spec/web/features/homepage_spec.rb[1:1]       | passed  | 0.00338 seconds |
./spec/web/features/songs_list_spec.rb[1:1]     | passed  | 0.47986 seconds |
./spec/web/views/songs/index_spec.rb[1:1]       | passed  | 0.00178 seconds |
./spec/web/views/songs/index_spec.rb[1:2:1]     | passed  | 0.0045 seconds  |
./spec/web/views/songs/index_spec.rb[1:3:1]     | passed  | 0.00563 seconds |
./spec/web/views/songs/index_spec.rb[1:3:2]     | passed  | 0.00257 seconds |
